title,workload,url,school,registered_people,rating,instructor
Curso JavaScript e HTML: desenvolva um jogo e pratique lógica de programação,16,https://www.alura.com.br/curso-online-logica-programacao-javascript-html,Programação,167775,9.5,Flavio Henrique de Souza Almeida
"Curso JavaScript e HTML: pratique lógica com desenhos, animações e um jogo",10,https://www.alura.com.br/curso-online-logica-programacao-pratica-com-desenho-animacoes-em-jogo,Programação,63513,9.3,Flavio Henrique de Souza Almeida
Curso Lógica de programação: mergulhe em programação com JavaScript,6,https://www.alura.com.br/curso-online-logica-programacao-mergulhe-programacao-javascript,Programação,35378,9.6,Guilherme Lima
Curso Lógica de programação: explore funções e listas,6,https://www.alura.com.br/curso-online-logica-programacao-funcoes-listas,Programação,18258,9.6,Guilherme Lima
Curso Lógica de programação: praticando com desafios,8,https://www.alura.com.br/curso-online-logica-programacao-praticando-desafios,Programação,5208,9.3,Jacqueline Oliveira
Curso Git e GitHub: compartilhando e colaborando em projetos,8,https://www.alura.com.br/curso-online-git-github-compartilhando-colaborando-projetos,Programação,15952,9.4,Gabrielle Ribeiro Gomes
Curso Git e GitHub: dominando controle de versão de código,8,https://www.alura.com.br/curso-online-git-github-dominando-controle-versao-codigo,Programação,244,9.1,Vinicius Dias
Curso Flask: crie uma webapp com Python,10,https://www.alura.com.br/curso-online-flask-crie-webapp-python,Programação,6868,9.4,Luan Marques
Curso Flask: avançando no desenvolvimento web com Python,10,https://www.alura.com.br/curso-online-flask-desenvolvimento-web,Programação,3064,9.3,Bruno Divino
Curso Django: templates e boas práticas,8,https://www.alura.com.br/curso-online-django-templates-boas-praticas,Programação,6268,9.4,Guilherme Lima
Curso Django: persistência de dados e Admin,10,https://www.alura.com.br/curso-online-django-persistencia-dados-admin,Programação,2988,9.3,Bruno Divino
Curso Django: autenticação de formulários e alerta,10,https://www.alura.com.br/curso-online-django-autenticacao-formularios-alerta,Programação,2162,9.2,Bruno Divino
Curso Django: CRUD e persistência no S3,8,https://www.alura.com.br/curso-online-django-crud-persistencia-s3,Programação,1372,9.2,Bruno Divino
Curso API com Django 3: Django Rest Framework,8,https://www.alura.com.br/curso-online-api-django-3-rest-framework,Programação,7314,9.4,Guilherme Lima
"Curso API com Django 3: Validações, buscas, filtros e deploy",8,https://www.alura.com.br/curso-online-api-django-3-validacoes-buscas-filtros-deploy,Programação,3183,9.3,Guilherme Lima
"Curso API com Django 3: Versionamento, cabeçalhos e CORS",6,https://www.alura.com.br/curso-online-api-django-3-versionamento-cabecalhos-cors,Programação,2074,9.4,Guilherme Lima
"Curso API com Django 3: Testes, segurança e lapidações",6,https://www.alura.com.br/curso-online-api-django-3-testes-seguranca-lapidacoes,Programação,2084,9.2,Guilherme Lima
Curso API com Django 3: Aprofundando em testes e documentação,8,https://www.alura.com.br/curso-online-api-django-3-testes-documentacao,Programação,2135,9.4,Guilherme Lima
Curso Python: avançando na orientação a objetos,10,https://www.alura.com.br/curso-online-python-3-avancando-orientacao-objetos,Programação,27366,8.9,Luan Marques
Curso Python Collections parte 1: listas e tuplas,8,https://www.alura.com.br/curso-online-python-collections-listas-e-tuplas,Programação,13993,9.3,Guilherme Silveira
Curso Python Collections parte 2: conjuntos e dicionários,9,https://www.alura.com.br/curso-online-python-collections-conjuntos-e-dicionarios,Programação,11444,9.4,Guilherme Silveira
Curso Python Brasil: validação de dados no padrão nacional,7,https://www.alura.com.br/curso-online-python-validacao-dados,Programação,10830,9.0,Rodrigo Siqueira
Curso String em Python: extraindo informações de uma URL,8,https://www.alura.com.br/curso-online-string-python-extraindo-informacoes-url,Programação,12252,9.3,Gabriel Corte Real Saldanha
Curso Python e TDD: explorando testes unitários,8,https://www.alura.com.br/curso-online-python-tdd-explorando-testes-unitarios,Programação,5557,9.4,Bruno Divino
Curso Python: crie a sua primeira aplicação,8,https://www.alura.com.br/curso-online-python-crie-sua-primeira-aplicacao,Programação,5227,9.4,Felipe de Morais
Curso Python: aplicando a Orientação a Objetos,6,https://www.alura.com.br/curso-online-python-aplicando-orientacao-objetos,Programação,2385,9.4,Guilherme Lima
